 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 7.72974573e-08  3.75374806e-09  3.20501025e-09  4.56294857e-01  3.40983303e-09  4.56294857e-01  4.56294857e-01  3.30527083e-09  1.56090408e-07  7.72974573e-08  1.00000000e+00 
 7.88031755e-08  4.56295625e-01  3.20501028e-09  4.56295625e-01  3.40983307e-09  4.56295625e-01  4.56295625e-01  3.30527085e-09  1.56091441e-07  7.88031755e-08  1.00000000e+00 
 8.03158784e-08  3.75374812e-09  4.56295610e-01  4.56295610e-01  3.40983306e-09  4.56295610e-01  4.56295610e-01  3.30527085e-09  1.56091425e-07  8.03158784e-08  1.00000000e+00 
 8.18334769e-08  4.56296376e-01  4.56296377e-01  4.56296376e-01  3.40983309e-09  4.56296377e-01  4.56296377e-01  3.30527085e-09  1.56092445e-07  8.18334769e-08  1.00000000e+00 
 8.31691054e-08  3.75374807e-09  3.20501025e-09  3.26677716e-09  4.56294887e-01  4.56294887e-01  4.56294887e-01  3.30527083e-09  1.56090446e-07  8.31691054e-08  1.00000000e+00 
 8.46577990e-08  4.56295614e-01  3.20501028e-09  3.26677723e-09  4.56295614e-01  4.56295614e-01  4.56295614e-01  3.30527085e-09  1.56091441e-07  8.46577990e-08  1.00000000e+00 
 8.61587708e-08  3.75374812e-09  4.56295621e-01  3.26677724e-09  4.56295620e-01  4.56295621e-01  4.56295621e-01  3.30527085e-09  1.56091436e-07  8.61587708e-08  1.00000000e+00 
 8.76750406e-08  4.56296389e-01  4.56296389e-01  3.26677720e-09  4.56296389e-01  4.56296389e-01  4.56296389e-01  3.30527086e-09  1.56092466e-07  8.76750406e-08  1.00000000e+00 
 8.91185010e-08  3.75374817e-09  3.20501028e-09  4.56295622e-01  4.56295622e-01  4.56295622e-01  4.56295622e-01  3.30527085e-09  1.56091449e-07  8.91185010e-08  1.00000000e+00 
 9.06188831e-08  4.56296375e-01  3.20501031e-09  4.56296375e-01  4.56296375e-01  4.56296375e-01  4.56296375e-01  3.30527086e-09  1.56092435e-07  9.06188831e-08  1.00000000e+00 
 9.21218515e-08  3.75374816e-09  4.56296358e-01  4.56296358e-01  4.56296358e-01  4.56296358e-01  4.56296358e-01  3.30527091e-09  1.56092422e-07  9.21218515e-08  1.00000000e+00 
 9.36321101e-08  4.56297109e-01  4.56297110e-01  4.56297109e-01  4.56297109e-01  4.56297110e-01  4.56297110e-01  3.30527089e-09  1.56093442e-07  9.36321101e-08  1.00000000e+00 
 9.69048486e-08  3.75374796e-09  3.20501020e-09  3.26677716e-09  3.40983297e-09  3.31434909e-09  3.15553310e-09  4.56293446e-01  1.56088549e-07  9.69048486e-08  1.00000000e+00 
 9.83173933e-08  4.56294155e-01  3.20501017e-09  3.26677718e-09  3.40983300e-09  3.31434911e-09  3.15553314e-09  4.56294155e-01  1.56089481e-07  9.83173933e-08  1.00000000e+00 
 9.97673482e-08  3.75374801e-09  4.56294149e-01  3.26677718e-09  3.40983300e-09  3.31434911e-09  3.15553314e-09  4.56294149e-01  1.56089472e-07  9.97673482e-08  1.00000000e+00 
 1.01234484e-07  4.56294895e-01  4.56294895e-01  3.26677721e-09  3.40983298e-09  3.31434915e-09  3.15553318e-09  4.56294895e-01  1.56090455e-07  1.01234484e-07  1.00000000e+00 
 1.02661630e-07  3.75374801e-09  3.20501023e-09  4.56294151e-01  3.40983300e-09  3.31434911e-09  3.15553320e-09  4.56294152e-01  1.56089491e-07  1.02661630e-07  1.00000000e+00 
 1.04142003e-07  4.56294884e-01  3.20501020e-09  4.56294883e-01  3.40983298e-09  3.31434915e-09  3.15553318e-09  4.56294884e-01  1.56090441e-07  1.04142003e-07  1.00000000e+00 
 1.05625119e-07  3.75374806e-09  4.56294882e-01  4.56294882e-01  3.40983303e-09  3.31434915e-09  3.15553318e-09  4.56294882e-01  1.56090444e-07  1.05625119e-07  1.00000000e+00 
 1.07116612e-07  4.56295628e-01  4.56295628e-01  4.56295628e-01  3.40983307e-09  3.31434917e-09  3.15553322e-09  4.56295628e-01  1.56091450e-07  1.07116612e-07  1.00000000e+00 
 1.08453484e-07  3.75374801e-09  3.20501023e-09  3.26677713e-09  4.56294182e-01  3.31434912e-09  3.15553320e-09  4.56294182e-01  1.56089532e-07  1.08453484e-07  1.00000000e+00 
 1.09925260e-07  4.56294882e-01  3.20501025e-09  3.26677721e-09  4.56294881e-01  3.31434914e-09  3.15553318e-09  4.56294882e-01  1.56090429e-07  1.09925260e-07  1.00000000e+00 
 1.11414245e-07  3.75374806e-09  4.56294867e-01  3.26677722e-09  4.56294867e-01  3.31434915e-09  3.15553318e-09  4.56294867e-01  1.56090423e-07  1.11414245e-07  1.00000000e+00 
 1.12921931e-07  4.56295645e-01  4.56295645e-01  3.26677719e-09  4.56295645e-01  3.31434913e-09  3.15553323e-09  4.56295645e-01  1.56091480e-07  1.12921931e-07  1.00000000e+00 
 1.14355934e-07  3.75374807e-09  3.20501025e-09  4.56294891e-01  4.56294891e-01  3.31434915e-09  3.15553318e-09  4.56294891e-01  1.56090453e-07  1.14355934e-07  1.00000000e+00 
 1.15847662e-07  4.56295641e-01  3.20501028e-09  4.56295641e-01  4.56295641e-01  3.31434917e-09  3.15553322e-09  4.56295641e-01  1.56091461e-07  1.15847662e-07  1.00000000e+00 
