 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 7.50258664e-08  4.58163219e-01  4.58163219e-01  4.58163219e-01  4.58163219e-01  3.40116148e-09  4.58163219e-01  3.40363667e-09  1.59373527e-07  7.50258664e-08  1.00000000e+00 
 7.60203420e-08  3.32529119e-09  3.40856140e-09  3.64325027e-09  3.27871598e-09  4.58160922e-01  4.58160922e-01  3.40363657e-09  1.59370439e-07  7.60203420e-08  1.00000000e+00 
 7.76504976e-08  4.58161666e-01  3.40856146e-09  3.64325031e-09  3.27871608e-09  4.58161666e-01  4.58161666e-01  3.40363654e-09  1.59371431e-07  7.76504976e-08  1.00000000e+00 
 7.91866341e-08  3.32529133e-09  4.58161666e-01  3.64325031e-09  3.27871608e-09  4.58161666e-01  4.58161666e-01  3.40363654e-09  1.59371432e-07  7.91866341e-08  1.00000000e+00 
 8.08658172e-08  4.58162407e-01  4.58162407e-01  3.64325034e-09  3.27871617e-09  4.58162407e-01  4.58162407e-01  3.40363662e-09  1.59372445e-07  8.08658172e-08  1.00000000e+00 
 8.25079098e-08  3.32529132e-09  3.40856145e-09  4.58161646e-01  3.27871608e-09  4.58161646e-01  4.58161646e-01  3.40363660e-09  1.59371411e-07  8.25079098e-08  1.00000000e+00 
 8.41872989e-08  4.58162422e-01  3.40856150e-09  4.58162422e-01  3.27871617e-09  4.58162422e-01  4.58162422e-01  3.40363662e-09  1.59372462e-07  8.41872989e-08  1.00000000e+00 
 8.57429399e-08  3.32529135e-09  4.58162418e-01  4.58162418e-01  3.27871617e-09  4.58162418e-01  4.58162418e-01  3.40363662e-09  1.59372455e-07  8.57429399e-08  1.00000000e+00 
 8.74336195e-08  4.58163163e-01  4.58163164e-01  4.58163164e-01  3.27871628e-09  4.58163163e-01  4.58163163e-01  3.40363667e-09  1.59373455e-07  8.74336195e-08  1.00000000e+00 
 8.90078482e-08  3.32529127e-09  3.40856146e-09  3.64325031e-09  4.58161677e-01  4.58161677e-01  4.58161677e-01  3.40363660e-09  1.59371459e-07  8.90078482e-08  1.00000000e+00 
 9.06655657e-08  4.58162415e-01  3.40856150e-09  3.64325034e-09  4.58162415e-01  4.58162415e-01  4.58162415e-01  3.40363662e-09  1.59372435e-07  9.06655657e-08  1.00000000e+00 
 9.22076069e-08  3.32529135e-09  4.58162452e-01  3.64325034e-09  4.58162452e-01  4.58162452e-01  4.58162452e-01  3.40363663e-09  1.59372490e-07  9.22076069e-08  1.00000000e+00 
 9.38946769e-08  4.58163178e-01  4.58163178e-01  3.64325039e-09  4.58163178e-01  4.58163178e-01  4.58163178e-01  3.40363667e-09  1.59373489e-07  9.38946769e-08  1.00000000e+00 
 9.55387591e-08  3.32529134e-09  3.40856150e-09  4.58162409e-01  4.58162409e-01  4.58162409e-01  4.58162409e-01  3.40363662e-09  1.59372437e-07  9.55387591e-08  1.00000000e+00 
 9.72128831e-08  4.58163181e-01  3.40856155e-09  4.58163181e-01  4.58163181e-01  4.58163181e-01  4.58163181e-01  3.40363664e-09  1.59373483e-07  9.72128831e-08  1.00000000e+00 
 9.87595499e-08  3.32529144e-09  4.58163186e-01  4.58163186e-01  4.58163186e-01  4.58163186e-01  4.58163186e-01  3.40363667e-09  1.59373496e-07  9.87595499e-08  1.00000000e+00 
 1.00443408e-07  4.58163904e-01  4.58163904e-01  4.58163904e-01  4.58163904e-01  4.58163904e-01  4.58163904e-01  3.40363667e-09  1.59374455e-07  1.00443408e-07  1.00000000e+00 
 9.41936023e-08  3.32529112e-09  3.40856136e-09  3.64325019e-09  3.27871591e-09  3.40116134e-09  3.45750584e-09  4.58160216e-01  1.59369478e-07  9.41936023e-08  1.00000000e+00 
 9.57819992e-08  4.58160966e-01  3.40856140e-09  3.64325027e-09  3.27871600e-09  3.40116137e-09  3.45750585e-09  4.58160966e-01  1.59370475e-07  9.57819992e-08  1.00000000e+00 
 9.72850742e-08  3.32529125e-09  4.58160967e-01  3.64325027e-09  3.27871600e-09  3.40116143e-09  3.45750580e-09  4.58160967e-01  1.59370509e-07  9.72850742e-08  1.00000000e+00 
 9.89326310e-08  4.58161719e-01  4.58161719e-01  3.64325025e-09  3.27871609e-09  3.40116141e-09  3.45750582e-09  4.58161719e-01  1.59371511e-07  9.89326310e-08  1.00000000e+00 
 1.00570368e-07  3.32529119e-09  3.40856146e-09  4.58160965e-01  3.27871600e-09  3.40116143e-09  3.45750585e-09  4.58160965e-01  1.59370513e-07  1.00570368e-07  1.00000000e+00 
 1.02232562e-07  4.58161698e-01  3.40856146e-09  4.58161699e-01  3.27871608e-09  3.40116146e-09  3.45750588e-09  4.58161699e-01  1.59371477e-07  1.02232562e-07  1.00000000e+00 
 1.03767803e-07  3.32529127e-09  4.58161700e-01  4.58161700e-01  3.27871608e-09  3.40116146e-09  3.45750588e-09  4.58161700e-01  1.59371490e-07  1.03767803e-07  1.00000000e+00 
 1.05438545e-07  4.58162426e-01  4.58162426e-01  4.58162426e-01  3.27871617e-09  3.40116143e-09  3.45750584e-09  4.58162426e-01  1.59372450e-07  1.05438545e-07  1.00000000e+00 
 1.07021478e-07  3.32529119e-09  3.40856141e-09  3.64325027e-09  4.58160985e-01  3.40116143e-09  3.45750585e-09  4.58160985e-01  1.59370534e-07  1.07021478e-07  1.00000000e+00 
 1.08670427e-07  4.58161723e-01  3.40856146e-09  3.64325031e-09  4.58161723e-01  3.40116141e-09  3.45750582e-09  4.58161723e-01  1.59371506e-07  1.08670427e-07  1.00000000e+00 
 1.10209641e-07  3.32529133e-09  4.58161707e-01  3.64325025e-09  4.58161707e-01  3.40116141e-09  3.45750582e-09  4.58161707e-01  1.59371494e-07  1.10209641e-07  1.00000000e+00 
 1.11896917e-07  4.58162463e-01  4.58162463e-01  3.64325034e-09  4.58162463e-01  3.40116144e-09  3.45750589e-09  4.58162463e-01  1.59372500e-07  1.11896917e-07  1.00000000e+00 
 1.13538455e-07  3.32529133e-09  3.40856146e-09  4.58161694e-01  4.58161693e-01  3.40116141e-09  3.45750588e-09  4.58161693e-01  1.59371478e-07  1.13538455e-07  1.00000000e+00 
 1.15208529e-07  4.58162441e-01  3.40856151e-09  4.58162442e-01  4.58162441e-01  3.40116149e-09  3.45750584e-09  4.58162441e-01  1.59372474e-07  1.15208529e-07  1.00000000e+00 
 1.16756006e-07  3.32529135e-09  4.58162432e-01  4.58162432e-01  4.58162432e-01  3.40116143e-09  3.45750589e-09  4.58162432e-01  1.59372478e-07  1.16756006e-07  1.00000000e+00 
 1.18442621e-07  4.58163208e-01  4.58163208e-01  4.58163208e-01  4.58163208e-01  3.40116148e-09  3.45750587e-09  4.58163208e-01  1.59373514e-07  1.18442621e-07  1.00000000e+00 
 1.19459806e-07  3.32529124e-09  3.40856141e-09  3.64325021e-09  3.27871599e-09  4.58160926e-01  3.45750579e-09  4.58160926e-01  1.59370441e-07  1.19459806e-07  1.00000000e+00 
 1.21096328e-07  4.58161672e-01  3.40856145e-09  3.64325030e-09  3.27871607e-09  4.58161672e-01  3.45750587e-09  4.58161672e-01  1.59371444e-07  1.21096328e-07  1.00000000e+00 
 1.22635733e-07  3.32529133e-09  4.58161678e-01  3.64325032e-09  3.27871608e-09  4.58161678e-01  3.45750582e-09  4.58161678e-01  1.59371460e-07  1.22635733e-07  1.00000000e+00 
 1.24313722e-07  4.58162401e-01  4.58162401e-01  3.64325034e-09  3.27871623e-09  4.58162401e-01  3.45750589e-09  4.58162401e-01  1.59372424e-07  1.24313722e-07  1.00000000e+00 
 1.25959289e-07  3.32529128e-09  3.40856147e-09  4.58161676e-01  3.27871609e-09  4.58161675e-01  3.45750583e-09  4.58161675e-01  1.59371444e-07  1.25959289e-07  1.00000000e+00 
 1.27638259e-07  4.58162402e-01  3.40856150e-09  4.58162402e-01  3.27871623e-09  4.58162402e-01  3.45750589e-09  4.58162402e-01  1.59372426e-07  1.27638259e-07  1.00000000e+00 
 1.29189303e-07  3.32529140e-09  4.58162364e-01  4.58162364e-01  3.27871616e-09  4.58162364e-01  3.45750589e-09  4.58162364e-01  1.59372374e-07  1.29189303e-07  1.00000000e+00 
 1.30872934e-07  4.58163170e-01  4.58163170e-01  4.58163170e-01  3.27871628e-09  4.58163170e-01  3.45750587e-09  4.58163170e-01  1.59373468e-07  1.30872934e-07  1.00000000e+00 
 1.32438217e-07  3.32529127e-09  3.40856146e-09  3.64325032e-09  4.58161680e-01  4.58161680e-01  3.45750588e-09  4.58161680e-01  1.59371444e-07  1.32438217e-07  1.00000000e+00 
 1.34086335e-07  4.58162443e-01  3.40856151e-09  3.64325034e-09  4.58162443e-01  4.58162443e-01  3.45750584e-09  4.58162443e-01  1.59372477e-07  1.34086335e-07  1.00000000e+00 
