 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.57130076e-07  3.22411978e-09  4.58721717e-01  4.58721717e-01  4.58721717e-01  4.58721717e-01  3.15087974e-09  4.58721717e-01  1.57130076e-07  6.17864117e-07  1.00000000e+00 
 1.57131034e-07  4.58722447e-01  4.58722447e-01  4.58722447e-01  4.58722447e-01  4.58722447e-01  3.15087971e-09  4.58722447e-01  1.57131034e-07  6.25170998e-07  1.00000000e+00 
 1.57127173e-07  3.22411968e-09  3.35532162e-09  3.18245281e-09  3.63888503e-09  3.32237905e-09  4.58719570e-01  4.58719569e-01  1.57127173e-07  6.29567211e-07  1.00000000e+00 
 1.57128179e-07  4.58720311e-01  3.35532162e-09  3.18245285e-09  3.63888509e-09  3.32237906e-09  4.58720311e-01  4.58720311e-01  1.57128179e-07  6.36536186e-07  1.00000000e+00 
 1.57128135e-07  3.22411970e-09  4.58720276e-01  3.18245291e-09  3.63888511e-09  3.32237907e-09  4.58720276e-01  4.58720276e-01  1.57128135e-07  6.43289667e-07  1.00000000e+00 
 1.57129141e-07  4.58721008e-01  4.58721008e-01  3.18245293e-09  3.63888515e-09  3.32237912e-09  4.58721008e-01  4.58721008e-01  1.57129141e-07  6.50517279e-07  1.00000000e+00 
 1.57128186e-07  3.22411975e-09  3.35532163e-09  4.58720323e-01  3.63888506e-09  3.32237907e-09  4.58720322e-01  4.58720322e-01  1.57128186e-07  6.56427773e-07  1.00000000e+00 
 1.57129209e-07  4.58721064e-01  3.35532169e-09  4.58721064e-01  3.63888519e-09  3.32237915e-09  4.58721064e-01  4.58721064e-01  1.57129209e-07  6.63675422e-07  1.00000000e+00 
 1.57129113e-07  3.22411977e-09  4.58720999e-01  4.58720999e-01  3.63888518e-09  3.32237915e-09  4.58720999e-01  4.58720998e-01  1.57129113e-07  6.70553675e-07  1.00000000e+00 
 1.57130061e-07  4.58721707e-01  4.58721707e-01  4.58721707e-01  3.63888527e-09  3.32237917e-09  4.58721707e-01  4.58721707e-01  1.57130061e-07  6.77832674e-07  1.00000000e+00 
 1.57128218e-07  3.22411969e-09  3.35532168e-09  3.18245285e-09  4.58720338e-01  3.32237912e-09  4.58720338e-01  4.58720338e-01  1.57128218e-07  6.82554941e-07  1.00000000e+00 
 1.57129166e-07  4.58721047e-01  3.35532169e-09  3.18245290e-09  4.58721047e-01  3.32237909e-09  4.58721047e-01  4.58721047e-01  1.57129166e-07  6.89755126e-07  1.00000000e+00 
 1.57129100e-07  3.22411972e-09  4.58720993e-01  3.18245296e-09  4.58720993e-01  3.32237914e-09  4.58720993e-01  4.58720993e-01  1.57129100e-07  6.96652961e-07  1.00000000e+00 
 1.57130088e-07  4.58721730e-01  4.58721730e-01  3.18245298e-09  4.58721730e-01  3.32237915e-09  4.58721730e-01  4.58721730e-01  1.57130088e-07  7.04013360e-07  1.00000000e+00 
 1.57129211e-07  3.22411975e-09  3.35532167e-09  4.58721067e-01  4.58721066e-01  3.32237912e-09  4.58721066e-01  4.58721066e-01  1.57129211e-07  7.09959011e-07  1.00000000e+00 
 1.57130127e-07  4.58721758e-01  3.35532172e-09  4.58721758e-01  4.58721758e-01  3.32237919e-09  4.58721758e-01  4.58721757e-01  1.57130127e-07  7.17245655e-07  1.00000000e+00 
 1.57130099e-07  3.22411976e-09  4.58721734e-01  4.58721734e-01  4.58721734e-01  3.32237913e-09  4.58721734e-01  4.58721734e-01  1.57130099e-07  7.24158923e-07  1.00000000e+00 
 1.57131073e-07  4.58722464e-01  4.58722464e-01  4.58722464e-01  4.58722464e-01  3.32237920e-09  4.58722464e-01  4.58722464e-01  1.57131073e-07  7.31476774e-07  1.00000000e+00 
 1.57128197e-07  3.22411976e-09  3.35532164e-09  3.18245286e-09  3.63888511e-09  4.58720321e-01  4.58720321e-01  4.58720321e-01  1.57128197e-07  7.34791371e-07  1.00000000e+00 
