 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.56941626e-07  4.48373427e-01  4.48373426e-01  3.26643069e-09  4.48373426e-01  3.23997201e-09  4.48373427e-01  3.25305478e-09  1.56941626e-07  2.25233237e-07  1.00000000e+00 
 1.56940483e-07  3.29172301e-09  3.25873376e-09  4.48372618e-01  4.48372618e-01  3.23997199e-09  4.48372618e-01  3.25305476e-09  1.56940483e-07  2.30210389e-07  1.00000000e+00 
 1.56941761e-07  4.48373482e-01  3.25873378e-09  4.48373482e-01  4.48373482e-01  3.23997201e-09  4.48373482e-01  3.25305478e-09  1.56941761e-07  2.35797273e-07  1.00000000e+00 
 1.56941556e-07  3.29172303e-09  4.48373348e-01  4.48373348e-01  4.48373348e-01  3.23997201e-09  4.48373348e-01  3.25305478e-09  1.56941556e-07  2.40926397e-07  1.00000000e+00 
 1.56942438e-07  4.48374046e-01  4.48374046e-01  4.48374046e-01  4.48374046e-01  3.23997203e-09  4.48374046e-01  3.25305480e-09  1.56942438e-07  2.46572625e-07  1.00000000e+00 
 1.56939555e-07  3.29172288e-09  3.25873385e-09  3.26643065e-09  3.31550632e-09  4.48371904e-01  4.48371904e-01  3.25305463e-09  1.56939555e-07  2.47827046e-07  1.00000000e+00 
 1.56940667e-07  4.48372696e-01  3.25873376e-09  3.26643067e-09  3.31550635e-09  4.48372696e-01  4.48372696e-01  3.25305476e-09  1.56940667e-07  2.53240898e-07  1.00000000e+00 
 1.56940652e-07  3.29172302e-09  4.48372697e-01  3.26643067e-09  3.31550635e-09  4.48372697e-01  4.48372697e-01  3.25305476e-09  1.56940652e-07  2.58309427e-07  1.00000000e+00 
 1.56941512e-07  4.48373371e-01  4.48373371e-01  3.26643068e-09  3.31550638e-09  4.48373371e-01  4.48373371e-01  3.25305478e-09  1.56941512e-07  2.63906827e-07  1.00000000e+00 
 1.56940508e-07  3.29172301e-09  3.25873375e-09  4.48372577e-01  3.31550635e-09  4.48372577e-01  4.48372577e-01  3.25305476e-09  1.56940508e-07  2.68860674e-07  1.00000000e+00 
