 v-sweep         i(viout)        v(vout)        
 1.67000000e+00  1.44191734e-08  1.67000000e+00 
 1.68000000e+00  1.15401484e-08  1.68000000e+00 
 1.69000000e+00  8.94793750e-09  1.69000000e+00 
 1.70000000e+00  6.59578880e-09  1.70000000e+00 
 1.71000000e+00  4.44049952e-09  1.71000000e+00 
 1.72000000e+00  2.43984921e-09  1.72000000e+00 
 1.73000000e+00  5.42575762e-10  1.73000000e+00 
 1.74000000e+00 -1.34946276e-09  1.74000000e+00 
 1.75000000e+00 -3.35866268e-09  1.75000000e+00 
 1.76000000e+00 -5.54583757e-09  1.76000000e+00 
 1.77000000e+00 -7.92011612e-09  1.77000000e+00 
 1.78000000e+00 -1.04252038e-08  1.78000000e+00 
 1.79000000e+00 -1.28907640e-08  1.79000000e+00 
 1.80000000e+00 -1.50410084e-08  1.80000000e+00 
 v-sweep         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 0.00000000e+00  6.24292002e-01  6.24292002e-01  6.24292002e-01  6.24292002e-01  6.24292002e-01  6.24292002e-01  3.29202939e-09  5.94323079e-07  9.43142862e-08  0.00000000e+00 
 1.00000000e-02  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323072e-07  9.41104472e-08  1.00000000e-02 
 2.00000000e-02  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323065e-07  9.39082563e-08  2.00000000e-02 
 3.00000000e-02  6.24291999e-01  6.24291998e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323062e-07  9.37064669e-08  3.00000000e-02 
 4.00000000e-02  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323071e-07  9.35054624e-08  4.00000000e-02 
