 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.57847111e-07  3.52350737e-09  3.30163070e-09  3.22304046e-09  4.50294733e-01  3.52483574e-09  4.50294733e-01  3.40396756e-09  1.57847111e-07  5.71784113e-08  1.00000000e+00 
 1.57848094e-07  4.50295469e-01  3.30163075e-09  3.22304042e-09  4.50295469e-01  3.52483583e-09  4.50295469e-01  3.40396765e-09  1.57848094e-07  5.87225344e-08  1.00000000e+00 
 1.57848107e-07  3.52350741e-09  4.50295468e-01  3.22304048e-09  4.50295468e-01  3.52483583e-09  4.50295468e-01  3.40396760e-09  1.57848107e-07  6.01878867e-08  1.00000000e+00 
 1.57849020e-07  4.50296145e-01  4.50296145e-01  3.22304051e-09  4.50296145e-01  3.52483591e-09  4.50296145e-01  3.40396764e-09  1.57849020e-07  6.17659737e-08  1.00000000e+00 
 1.57848026e-07  3.52350740e-09  3.30163075e-09  4.50295420e-01  4.50295419e-01  3.52483582e-09  4.50295419e-01  3.40396759e-09  1.57848026e-07  6.32620498e-08  1.00000000e+00 
 1.57849083e-07  4.50296188e-01  3.30163079e-09  4.50296188e-01  4.50296188e-01  3.52483591e-09  4.50296188e-01  3.40396764e-09  1.57849083e-07  6.48162768e-08  1.00000000e+00 
 1.57849068e-07  3.52350744e-09  4.50296185e-01  4.50296185e-01  4.50296185e-01  3.52483591e-09  4.50296185e-01  3.40396764e-09  1.57849068e-07  6.62805775e-08  1.00000000e+00 
 1.57850114e-07  4.50296956e-01  4.50296956e-01  4.50296956e-01  4.50296955e-01  3.52483601e-09  4.50296955e-01  3.40396768e-09  1.57850114e-07  6.78495127e-08  1.00000000e+00 
 1.57847034e-07  3.52350738e-09  3.30163076e-09  3.22304040e-09  3.29632551e-09  4.50294682e-01  4.50294682e-01  3.40396756e-09  1.57847034e-07  6.88050221e-08  1.00000000e+00 
 1.57847990e-07  4.50295389e-01  3.30163074e-09  3.22304042e-09  3.29632556e-09  4.50295389e-01  4.50295389e-01  3.40396759e-09  1.57847990e-07  7.03128364e-08  1.00000000e+00 
 1.57847983e-07  3.52350740e-09  4.50295381e-01  3.22304042e-09  3.29632556e-09  4.50295380e-01  4.50295380e-01  3.40396759e-09  1.57847983e-07  7.17622441e-08  1.00000000e+00 
 1.57849020e-07  4.50296145e-01  4.50296145e-01  3.22304051e-09  3.29632562e-09  4.50296144e-01  4.50296145e-01  3.40396764e-09  1.57849020e-07  7.33228092e-08  1.00000000e+00 
 1.57847933e-07  3.52350740e-09  3.30163074e-09  4.50295332e-01  3.29632556e-09  4.50295332e-01  4.50295332e-01  3.40396759e-09  1.57847933e-07  7.48129736e-08  1.00000000e+00 
 1.57849026e-07  4.50296143e-01  3.30163078e-09  4.50296143e-01  3.29632562e-09  4.50296143e-01  4.50296143e-01  3.40396764e-09  1.57849026e-07  7.63725154e-08  1.00000000e+00 
 1.57848930e-07  3.52350743e-09  4.50296071e-01  4.50296071e-01  3.29632561e-09  4.50296071e-01  4.50296071e-01  3.40396763e-09  1.57848930e-07  7.78439784e-08  1.00000000e+00 
 1.57849967e-07  4.50296855e-01  4.50296855e-01  4.50296855e-01  3.29632567e-09  4.50296855e-01  4.50296855e-01  3.40396768e-09  1.57849967e-07  7.94186548e-08  1.00000000e+00 
 1.57848025e-07  3.52350740e-09  3.30163075e-09  3.22304048e-09  4.50295422e-01  4.50295422e-01  4.50295422e-01  3.40396759e-09  1.57848025e-07  8.04935780e-08  1.00000000e+00 
 1.57848997e-07  4.50296134e-01  3.30163079e-09  3.22304045e-09  4.50296134e-01  4.50296134e-01  4.50296134e-01  3.40396763e-09  1.57848997e-07  8.20316046e-08  1.00000000e+00 
 1.57849097e-07  3.52350744e-09  4.50296206e-01  3.22304045e-09  4.50296206e-01  4.50296206e-01  4.50296206e-01  3.40396764e-09  1.57849097e-07  8.34907183e-08  1.00000000e+00 
 1.57850039e-07  4.50296896e-01  4.50296896e-01  3.22304053e-09  4.50296895e-01  4.50296895e-01  4.50296895e-01  3.40396768e-09  1.57850039e-07  8.50629505e-08  1.00000000e+00 
 1.57849001e-07  3.52350744e-09  3.30163079e-09  4.50296153e-01  4.50296153e-01  4.50296153e-01  4.50296153e-01  3.40396764e-09  1.57849001e-07  8.65556018e-08  1.00000000e+00 
 1.57849966e-07  4.50296860e-01  3.30163083e-09  4.50296860e-01  4.50296860e-01  4.50296860e-01  4.50296860e-01  3.40396768e-09  1.57849966e-07  8.81107098e-08  1.00000000e+00 
 1.57850116e-07  3.52350747e-09  4.50296971e-01  4.50296971e-01  4.50296971e-01  4.50296971e-01  4.50296971e-01  3.40396768e-09  1.57850116e-07  8.95749395e-08  1.00000000e+00 
 1.57850880e-07  4.50297557e-01  4.50297557e-01  4.50297557e-01  4.50297557e-01  4.50297557e-01  4.50297557e-01  3.40396772e-09  1.57850880e-07  9.11432352e-08  1.00000000e+00 
 1.57846023e-07  3.52350733e-09  3.30163066e-09  3.22304038e-09  3.29632545e-09  3.52483565e-09  3.45527822e-09  4.50293922e-01  1.57846023e-07  9.04306603e-08  1.00000000e+00 
 1.57846974e-07  4.50294637e-01  3.30163070e-09  3.22304040e-09  3.29632551e-09  3.52483573e-09  3.45527829e-09  4.50294636e-01  1.57846974e-07  9.18853829e-08  1.00000000e+00 
 1.57846965e-07  3.52350737e-09  4.50294631e-01  3.22304040e-09  3.29632551e-09  3.52483573e-09  3.45527829e-09  4.50294631e-01  1.57846965e-07  9.32931670e-08  1.00000000e+00 
 1.57847957e-07  4.50295361e-01  4.50295362e-01  3.22304042e-09  3.29632556e-09  3.52483582e-09  3.45527836e-09  4.50295361e-01  1.57847957e-07  9.48127763e-08  1.00000000e+00 
 1.57847044e-07  3.52350737e-09  3.30163070e-09  4.50294672e-01  3.29632551e-09  3.52483573e-09  3.45527829e-09  4.50294672e-01  1.57847044e-07  9.62891278e-08  1.00000000e+00 
 1.57847946e-07  4.50295374e-01  3.30163074e-09  4.50295374e-01  3.29632556e-09  3.52483582e-09  3.45527841e-09  4.50295374e-01  1.57847946e-07  9.78226495e-08  1.00000000e+00 
 1.57847958e-07  3.52350740e-09  4.50295380e-01  4.50295380e-01  3.29632556e-09  3.52483582e-09  3.45527841e-09  4.50295380e-01  1.57847958e-07  9.92667140e-08  1.00000000e+00 
 1.57849046e-07  4.50296149e-01  4.50296149e-01  4.50296149e-01  3.29632562e-09  3.52483591e-09  3.45527843e-09  4.50296149e-01  1.57849046e-07  1.00814830e-07  1.00000000e+00 
 1.57847048e-07  3.52350737e-09  3.30163070e-09  3.22304040e-09  4.50294693e-01  3.52483574e-09  3.45527829e-09  4.50294693e-01  1.57847048e-07  1.01898095e-07  1.00000000e+00 
 1.57848015e-07  4.50295397e-01  3.30163074e-09  3.22304042e-09  4.50295397e-01  3.52483582e-09  3.45527842e-09  4.50295397e-01  1.57848015e-07  1.03420135e-07  1.00000000e+00 
 1.57848013e-07  3.52350740e-09  4.50295413e-01  3.22304043e-09  4.50295413e-01  3.52483582e-09  3.45527836e-09  4.50295413e-01  1.57848013e-07  1.04869230e-07  1.00000000e+00 
 1.57849083e-07  4.50296186e-01  4.50296186e-01  3.22304045e-09  4.50296186e-01  3.52483591e-09  3.45527843e-09  4.50296186e-01  1.57849083e-07  1.06433546e-07  1.00000000e+00 
 1.57848020e-07  3.52350740e-09  3.30163074e-09  4.50295398e-01  4.50295397e-01  3.52483582e-09  3.45527836e-09  4.50295398e-01  1.57848020e-07  1.07917302e-07  1.00000000e+00 
 1.57849018e-07  4.50296136e-01  3.30163079e-09  4.50296136e-01  4.50296136e-01  3.52483591e-09  3.45527843e-09  4.50296136e-01  1.57849018e-07  1.09464040e-07  1.00000000e+00 
 1.57849006e-07  3.52350744e-09  4.50296165e-01  4.50296164e-01  4.50296164e-01  3.52483591e-09  3.45527843e-09  4.50296164e-01  1.57849006e-07  1.10925598e-07  1.00000000e+00 
 1.57850102e-07  4.50296954e-01  4.50296954e-01  4.50296954e-01  4.50296954e-01  3.52483601e-09  3.45527850e-09  4.50296954e-01  1.57850102e-07  1.12493453e-07  1.00000000e+00 
 1.57847008e-07  3.52350737e-09  3.30163070e-09  3.22304040e-09  3.29632551e-09  4.50294644e-01  3.45527834e-09  4.50294644e-01  1.57847008e-07  1.13466683e-07  1.00000000e+00 
 1.57847932e-07  4.50295358e-01  3.30163074e-09  3.22304042e-09  3.29632556e-09  4.50295358e-01  3.45527836e-09  4.50295358e-01  1.57847932e-07  1.14977652e-07  1.00000000e+00 
 1.57848022e-07  3.52350740e-09  4.50295409e-01  3.22304043e-09  3.29632556e-09  4.50295409e-01  3.45527836e-09  4.50295409e-01  1.57848022e-07  1.16427714e-07  1.00000000e+00 
 1.57849038e-07  4.50296158e-01  4.50296158e-01  3.22304045e-09  3.29632562e-09  4.50296158e-01  3.45527843e-09  4.50296158e-01  1.57849038e-07  1.17986460e-07  1.00000000e+00 
 1.57848009e-07  3.52350740e-09  3.30163074e-09  4.50295375e-01  3.29632556e-09  4.50295375e-01  3.45527836e-09  4.50295375e-01  1.57848009e-07  1.19477519e-07  1.00000000e+00 
 1.57848992e-07  4.50296122e-01  3.30163079e-09  4.50296122e-01  3.29632562e-09  4.50296122e-01  3.45527843e-09  4.50296122e-01  1.57848992e-07  1.21035285e-07  1.00000000e+00 
 1.57848959e-07  3.52350744e-09  4.50296109e-01  4.50296109e-01  3.29632562e-09  4.50296109e-01  3.45527843e-09  4.50296109e-01  1.57848959e-07  1.22501604e-07  1.00000000e+00 
 1.57850033e-07  4.50296899e-01  4.50296899e-01  4.50296899e-01  3.29632567e-09  4.50296899e-01  3.45527855e-09  4.50296899e-01  1.57850033e-07  1.24069288e-07  1.00000000e+00 
 1.57848089e-07  3.52350740e-09  3.30163075e-09  3.22304043e-09  4.50295439e-01  4.50295439e-01  3.45527836e-09  4.50295439e-01  1.57848089e-07  1.25137348e-07  1.00000000e+00 
 1.57849116e-07  4.50296218e-01  3.30163079e-09  3.22304045e-09  4.50296218e-01  4.50296218e-01  3.45527844e-09  4.50296218e-01  1.57849116e-07  1.26667942e-07  1.00000000e+00 
 1.57849061e-07  3.52350744e-09  4.50296155e-01  3.22304045e-09  4.50296155e-01  4.50296155e-01  3.45527843e-09  4.50296155e-01  1.57849061e-07  1.28116284e-07  1.00000000e+00 
 1.57849958e-07  4.50296868e-01  4.50296868e-01  3.22304047e-09  4.50296868e-01  4.50296868e-01  3.45527855e-09  4.50296868e-01  1.57849958e-07  1.29679520e-07  1.00000000e+00 
 1.57848981e-07  3.52350744e-09  3.30163079e-09  4.50296127e-01  4.50296127e-01  4.50296127e-01  3.45527849e-09  4.50296127e-01  1.57848981e-07  1.31163475e-07  1.00000000e+00 
 1.57850015e-07  4.50296898e-01  3.30163083e-09  4.50296898e-01  4.50296898e-01  4.50296898e-01  3.45527855e-09  4.50296898e-01  1.57850015e-07  1.32711506e-07  1.00000000e+00 
