 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.58201926e-07  4.58281378e-01  4.58281378e-01  4.58281378e-01  4.58281378e-01  3.26704891e-09  4.58281378e-01  3.27469317e-09  1.58201926e-07  6.97161440e-08  1.00000000e+00 
 1.58198969e-07  3.32520536e-09  3.29510188e-09  3.25478900e-09  3.22460110e-09  4.58279170e-01  4.58279170e-01  3.27469311e-09  1.58198969e-07  7.14321473e-08  1.00000000e+00 
 1.58199985e-07  4.58279935e-01  3.29510190e-09  3.25478902e-09  3.22460100e-09  4.58279935e-01  4.58279935e-01  3.27469313e-09  1.58199985e-07  7.28922060e-08  1.00000000e+00 
 1.58199946e-07  3.32520528e-09  4.58279894e-01  3.25478902e-09  3.22460100e-09  4.58279894e-01  4.58279894e-01  3.27469313e-09  1.58199946e-07  7.45117106e-08  1.00000000e+00 
 1.58200946e-07  4.58280655e-01  4.58280655e-01  3.25478903e-09  3.22460100e-09  4.58280655e-01  4.58280655e-01  3.27469325e-09  1.58200946e-07  7.60199512e-08  1.00000000e+00 
 1.58199903e-07  3.32520539e-09  3.29510190e-09  4.58279865e-01  3.22460100e-09  4.58279865e-01  4.58279865e-01  3.27469324e-09  1.58199903e-07  7.73160167e-08  1.00000000e+00 
 1.58200958e-07  4.58280663e-01  3.29510191e-09  4.58280663e-01  3.22460111e-09  4.58280663e-01  4.58280663e-01  3.27469325e-09  1.58200958e-07  7.88242716e-08  1.00000000e+00 
 1.58200934e-07  3.32520529e-09  4.58280636e-01  4.58280636e-01  3.22460100e-09  4.58280636e-01  4.58280636e-01  3.27469313e-09  1.58200934e-07  8.04673661e-08  1.00000000e+00 
 1.58201933e-07  4.58281389e-01  4.58281389e-01  4.58281389e-01  3.22460114e-09  4.58281389e-01  4.58281389e-01  3.27469317e-09  1.58201933e-07  8.19879631e-08  1.00000000e+00 
 1.58199936e-07  3.32520528e-09  3.29510190e-09  3.25478902e-09  4.58279888e-01  4.58279888e-01  4.58279888e-01  3.27469313e-09  1.58199936e-07  8.32975147e-08  1.00000000e+00 
 1.58200943e-07  4.58280642e-01  3.29510191e-09  3.25478914e-09  4.58280642e-01  4.58280642e-01  4.58280643e-01  3.27469313e-09  1.58200943e-07  8.47869615e-08  1.00000000e+00 
 1.58200888e-07  3.32520540e-09  4.58280596e-01  3.25478902e-09  4.58280596e-01  4.58280596e-01  4.58280596e-01  3.27469313e-09  1.58200888e-07  8.64162217e-08  1.00000000e+00 
 1.58201884e-07  4.58281352e-01  4.58281352e-01  3.25478917e-09  4.58281352e-01  4.58281352e-01  4.58281352e-01  3.27469328e-09  1.58201884e-07  8.79368329e-08  1.00000000e+00 
 1.58200883e-07  3.32520540e-09  3.29510190e-09  4.58280590e-01  4.58280590e-01  4.58280590e-01  4.58280590e-01  3.27469313e-09  1.58200883e-07  8.92356553e-08  1.00000000e+00 
 1.58201902e-07  4.58281359e-01  3.29510194e-09  4.58281359e-01  4.58281359e-01  4.58281359e-01  4.58281359e-01  3.27469328e-09  1.58201902e-07  9.07398245e-08  1.00000000e+00 
 1.58201844e-07  3.32520531e-09  4.58281311e-01  4.58281310e-01  4.58281311e-01  4.58281311e-01  4.58281311e-01  3.27469326e-09  1.58201844e-07  9.23742220e-08  1.00000000e+00 
 1.58202906e-07  4.58282094e-01  4.58282094e-01  4.58282094e-01  4.58282094e-01  4.58282094e-01  4.58282094e-01  3.27469330e-09  1.58202906e-07  9.38881399e-08  1.00000000e+00 
