 v-sweep         i(viout)        v(vout)        
 2.20000000e-01  6.76464864e-01  6.76464864e-01  6.76464864e-01  6.76464864e-01  6.76464864e-01  6.76464864e-01  3.25854698e-09  1.16964321e-06  2.89481969e-07  2.20000000e-01 
 2.30000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.88926496e-07  2.30000000e-01 
 2.40000000e-01  6.76464862e-01  6.76464862e-01  6.76464863e-01  6.76464863e-01  6.76464862e-01  6.76464863e-01  3.25854698e-09  1.16964321e-06  2.88371971e-07  2.40000000e-01 
 2.50000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464862e-01  6.76464863e-01  3.25854709e-09  1.16964321e-06  2.87818378e-07  2.50000000e-01 
 2.60000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964320e-06  2.87265715e-07  2.60000000e-01 
 2.70000000e-01  6.76464862e-01  6.76464861e-01  6.76464862e-01  6.76464862e-01  6.76464861e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.86713966e-07  2.70000000e-01 
 2.80000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.86163141e-07  2.80000000e-01 
 2.90000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.85613231e-07  2.90000000e-01 
 3.00000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854709e-09  1.16964321e-06  2.85064238e-07  3.00000000e-01 
 3.10000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464864e-01  6.76464863e-01  6.76464863e-01  3.25854709e-09  1.16964321e-06  2.84516140e-07  3.10000000e-01 
 3.20000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964320e-06  2.83968930e-07  3.20000000e-01 
 3.30000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.83422631e-07  3.30000000e-01 
 3.40000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964321e-06  2.82877210e-07  3.40000000e-01 
 3.50000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854698e-09  1.16964321e-06  2.82332689e-07  3.50000000e-01 
 3.60000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964321e-06  2.81789039e-07  3.60000000e-01 
 3.70000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.81246264e-07  3.70000000e-01 
 3.80000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964321e-06  2.80704368e-07  3.80000000e-01 
 3.90000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.80163334e-07  3.90000000e-01 
 4.00000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464862e-01  6.76464863e-01  3.25854698e-09  1.16964321e-06  2.79623162e-07  4.00000000e-01 
 4.10000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964321e-06  2.79083845e-07  4.10000000e-01 
 4.20000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964320e-06  2.78545381e-07  4.20000000e-01 
 4.30000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464863e-01  6.76464862e-01  6.76464863e-01  3.25854698e-09  1.16964321e-06  2.78007770e-07  4.30000000e-01 
 4.40000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464863e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964321e-06  2.77471002e-07  4.40000000e-01 
 4.50000000e-01  6.76464862e-01  6.76464862e-01  6.76464863e-01  6.76464863e-01  6.76464862e-01  6.76464863e-01  3.25854709e-09  1.16964321e-06  2.76935063e-07  4.50000000e-01 
 4.60000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854698e-09  1.16964321e-06  2.76399967e-07  4.60000000e-01 
 4.70000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854698e-09  1.16964321e-06  2.75865695e-07  4.70000000e-01 
 4.80000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964320e-06  2.75332237e-07  4.80000000e-01 
 4.90000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964321e-06  2.74799620e-07  4.90000000e-01 
 5.00000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.74267800e-07  5.00000000e-01 
 5.10000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964320e-06  2.73736794e-07  5.10000000e-01 
 5.20000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964321e-06  2.73206598e-07  5.20000000e-01 
 5.30000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854698e-09  1.16964321e-06  2.72677191e-07  5.30000000e-01 
 5.40000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964320e-06  2.72148577e-07  5.40000000e-01 
 5.50000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964321e-06  2.71620763e-07  5.50000000e-01 
 5.60000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854709e-09  1.16964321e-06  2.71093727e-07  5.60000000e-01 
 5.70000000e-01  6.76464862e-01  6.76464862e-01  6.76464863e-01  6.76464863e-01  6.76464862e-01  6.76464863e-01  3.25854709e-09  1.16964321e-06  2.70567469e-07  5.70000000e-01 
 5.80000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964321e-06  2.70041977e-07  5.80000000e-01 
 5.90000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964321e-06  2.69517261e-07  5.90000000e-01 
 6.00000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.68993305e-07  6.00000000e-01 
 6.10000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464863e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964321e-06  2.68470111e-07  6.10000000e-01 
 6.20000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854698e-09  1.16964321e-06  2.67947667e-07  6.20000000e-01 
 6.30000000e-01  6.76464864e-01  6.76464864e-01  6.76464864e-01  6.76464864e-01  6.76464864e-01  6.76464864e-01  3.25854698e-09  1.16964322e-06  2.67425975e-07  6.30000000e-01 
 6.40000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.66905001e-07  6.40000000e-01 
 6.50000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.66384783e-07  6.50000000e-01 
 6.60000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854698e-09  1.16964321e-06  2.65865296e-07  6.60000000e-01 
 6.70000000e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  3.25854698e-09  1.16964320e-06  2.65346512e-07  6.70000000e-01 
 6.80000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964321e-06  2.64828463e-07  6.80000000e-01 
 6.90000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.64311121e-07  6.90000000e-01 
 7.00000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.63794494e-07  7.00000000e-01 
