 vmeas#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 9.25944050e-08  3.21785894e-09  4.61443088e-01  3.25770256e-09  4.61443088e-01  4.61443088e-01  4.61443088e-01  3.24950291e-09  1.63420026e-07  9.23047452e-08  1.00000000e+00 
 9.42476390e-08  4.61443741e-01  4.61443741e-01  3.25770257e-09  4.61443741e-01  4.61443741e-01  4.61443740e-01  3.24950282e-09  1.63420921e-07  9.39417646e-08  1.00000000e+00 
 9.60041007e-08  3.21785894e-09  3.25952926e-09  4.61443052e-01  4.61443053e-01  4.61443052e-01  4.61443052e-01  3.24950291e-09  1.63419983e-07  9.56811164e-08  1.00000000e+00 
 9.76411343e-08  4.61443732e-01  3.25952927e-09  4.61443731e-01  4.61443732e-01  4.61443732e-01  4.61443731e-01  3.24950281e-09  1.63420900e-07  9.73019212e-08  1.00000000e+00 
 9.90673357e-08  3.21785895e-09  4.61443732e-01  4.61443732e-01  4.61443732e-01  4.61443732e-01  4.61443732e-01  3.24950281e-09  1.63420911e-07  9.87142386e-08  1.00000000e+00 
 1.00717159e-07  4.61444405e-01  4.61444405e-01  4.61444405e-01  4.61444405e-01  4.61444405e-01  4.61444405e-01  3.24950283e-09  1.63421820e-07  1.00347791e-07  1.00000000e+00 
 1.01314015e-07  3.21785879e-09  3.25952921e-09  3.25770240e-09  3.25913352e-09  3.24026814e-09  3.25484395e-09  4.61440997e-01  1.63417191e-07  1.00938792e-07  1.00000000e+00 
 1.02847196e-07  4.61441658e-01  3.25952922e-09  3.25770253e-09  3.25913342e-09  3.24026815e-09  3.25484408e-09  4.61441658e-01  1.63418083e-07  1.02456752e-07  1.00000000e+00 
 1.04221897e-07  3.21785880e-09  4.61441662e-01  3.25770241e-09  3.25913342e-09  3.24026815e-09  3.25484397e-09  4.61441662e-01  1.63418100e-07  1.03817968e-07  1.00000000e+00 
 1.05820561e-07  4.61442342e-01  4.61442341e-01  3.25770243e-09  3.25913343e-09  3.24026828e-09  3.25484410e-09  4.61442341e-01  1.63419017e-07  1.05400559e-07  1.00000000e+00 
 1.07557696e-07  3.21785880e-09  3.25952922e-09  4.61441646e-01  3.25913342e-09  3.24026827e-09  3.25484397e-09  4.61441646e-01  1.63418076e-07  1.07120471e-07  1.00000000e+00 
